date,total_transactions,total_volume,average_transaction_amount,unique_customers,unique_merchants,fraud_transactions,fraud_rate
2025-03-10,13,3530.15,271.55,12,13,1,0.07692307692307693
2025-03-11,14,1914.8200000000002,136.77285714285716,13,14,4,0.2857142857142857
2025-03-12,19,3920.63,206.34894736842105,19,17,6,0.3157894736842105
2025-03-13,13,2075.2599999999998,159.6353846153846,13,13,5,0.38461538461538464
2025-03-14,16,2635.03,164.689375,14,16,0,0.0
2025-03-15,9,2576.1099999999997,286.2344444444444,9,9,1,0.1111111111111111
2025-03-16,6,382.45,63.74166666666667,6,6,2,0.3333333333333333
2025-03-17,6,505.50000000000006,84.25000000000001,6,6,1,0.16666666666666666
2025-03-18,11,2227.18,202.4709090909091,11,10,1,0.09090909090909091
2025-03-19,14,1250.56,89.32571428571428,13,14,5,0.35714285714285715
2025-03-20,21,2947.7199999999993,140.36761904761903,21,20,5,0.23809523809523808
2025-03-21,10,2211.36,221.13600000000002,10,9,1,0.1
2025-03-22,12,1561.4,130.11666666666667,12,12,2,0.16666666666666666
2025-03-23,15,1390.4299999999996,92.69533333333331,15,13,4,0.26666666666666666
2025-03-24,9,1702.3000000000002,189.14444444444447,9,9,1,0.1111111111111111
2025-03-25,19,3751.0699999999997,197.42473684210526,19,19,0,0.0
2025-03-26,20,3315.04,165.752,20,20,4,0.2
2025-03-27,8,837.3,104.6625,8,8,2,0.25
2025-03-28,13,2330.8100000000004,179.29307692307697,13,12,1,0.07692307692307693
2025-03-29,24,2547.52,106.14666666666666,24,22,3,0.125
2025-03-30,12,1377.01,114.75083333333333,12,12,2,0.16666666666666666
2025-03-31,21,3130.9300000000003,149.09190476190477,21,18,4,0.19047619047619047
2025-04-01,13,2208.33,169.87153846153845,13,12,4,0.3076923076923077
2025-04-02,14,3731.2499999999995,266.5178571428571,14,14,5,0.35714285714285715
2025-04-03,8,3399.05,424.88125,8,8,0,0.0
2025-04-04,9,1113.5,123.72222222222223,9,8,1,0.1111111111111111
2025-04-05,17,1989.74,117.04352941176471,17,17,1,0.058823529411764705
2025-04-06,10,843.5600000000001,84.35600000000001,10,10,3,0.3
2025-04-07,13,3019.7099999999996,232.28538461538457,13,12,3,0.23076923076923078
2025-04-08,19,4433.37,233.33526315789473,19,19,4,0.21052631578947367
2025-04-09,10,2617.0699999999997,261.707,10,10,0,0.0
2025-04-10,14,3480.29,248.59214285714285,13,14,4,0.2857142857142857
2025-04-11,10,2219.1400000000003,221.91400000000004,10,10,3,0.3
2025-04-12,14,1776.01,126.85785714285714,14,14,2,0.14285714285714285
2025-04-13,10,1077.39,107.739,10,10,3,0.3
2025-04-14,14,1571.0700000000002,112.21928571428573,13,14,2,0.14285714285714285
2025-04-15,18,2538.58,141.03222222222223,18,17,4,0.2222222222222222
2025-04-16,17,4973.2699999999995,292.545294117647,17,16,6,0.35294117647058826
2025-04-17,19,1864.3600000000001,98.12421052631579,19,17,3,0.15789473684210525
2025-04-18,18,2369.18,131.6211111111111,18,17,3,0.16666666666666666
2025-04-19,10,1304.27,130.427,10,10,1,0.1
2025-04-20,6,998.8400000000001,166.47333333333336,5,6,0,0.0
2025-04-21,11,2710.25,246.38636363636363,11,11,0,0.0
2025-04-22,7,1016.7,145.24285714285716,7,7,1,0.14285714285714285
