transaction_id,card_id,customer_id,merchant_id,merchant_name,merchant_category,amount,currency,transaction_type,transaction_status,transaction_date,transaction_time,transaction_timestamp,mcc_code,is_fraud,created_at
TXN_000000001,CARD_00000350,CUST_000211,MERCH_000027,"Ashley, Ross and Cruz",Automotive,39.61,USD,Purchase,Completed,2025-05-11,09:14:46.321269,2025-05-11 09:14:46.321269,MCC_6177,False,2026-03-10 09:14:46.323991
TXN_000000002,CARD_00000521,CUST_000314,MERCH_000115,Clark-Taylor,Subscription,30.52,USD,Transfer,Declined,2025-06-03,09:14:46.321269,2025-06-03 09:14:46.321269,MCC_1631,False,2026-03-10 09:14:46.324662
TXN_000000003,CARD_00000667,CUST_000405,MERCH_000053,Kent-Carr,Gym,127.92,USD,Purchase,Pending,2025-09-13,09:14:46.321269,2025-09-13 09:14:46.321269,MCC_2982,True,2026-03-10 09:14:46.325314
TXN_000000004,CARD_00000465,CUST_000282,MERCH_000045,"Powell, Vargas and Booth",Grocery,123.48,USD,Purchase,Pending,2025-05-20,09:14:46.321269,2025-05-20 09:14:46.321269,MCC_8466,False,2026-03-10 09:14:46.325984
TXN_000000005,CARD_00000172,CUST_000104,MERCH_000121,Adams-Gonzalez,Healthcare,18.42,USD,Purchase,Pending,2025-12-25,09:14:46.321269,2025-12-25 09:14:46.321269,MCC_7192,False,2026-03-10 09:14:46.326649
TXN_000000006,CARD_00000409,CUST_000247,MERCH_000199,"Logan, Cisneros and Chase",Hotel,460.67,USD,Purchase,Pending,2025-06-07,09:14:46.321269,2025-06-07 09:14:46.321269,MCC_8471,False,2026-03-10 09:14:46.327354
TXN_000000007,CARD_00000338,CUST_000206,MERCH_000065,Brown Inc,Gas Station,33.29,USD,Withdrawal,Declined,2025-12-15,09:14:46.321269,2025-12-15 09:14:46.321269,MCC_5590,False,2026-03-10 09:14:46.328007
TXN_000000008,CARD_00000050,CUST_000030,MERCH_000007,"Washington, Dixon and Hobbs",Subscription,8.36,USD,Transfer,Completed,2025-06-15,09:14:46.321269,2025-06-15 09:14:46.321269,MCC_6616,False,2026-03-10 09:14:46.328656
TXN_000000009,CARD_00000217,CUST_000132,MERCH_000185,"Clements, Arnold and Rivera",Pharmacy,174.84,USD,Purchase,Declined,2025-10-27,09:14:46.321269,2025-10-27 09:14:46.321269,MCC_9497,False,2026-03-10 09:14:46.329336
TXN_000000010,CARD_00000048,CUST_000028,MERCH_000022,Snyder-Davis,Retail,108.04,USD,Purchase,Pending,2025-12-10,09:14:46.321269,2025-12-10 09:14:46.321269,MCC_9955,False,2026-03-10 09:14:46.330996
TXN_000000011,CARD_00000417,CUST_000252,MERCH_000170,Harris-Bryant,Airlines,1417.46,USD,Purchase,Completed,2025-10-19,09:14:46.321269,2025-10-19 09:14:46.321269,MCC_1065,True,2026-03-10 09:14:46.332607
TXN_000000012,CARD_00000615,CUST_000372,MERCH_000079,Soto-Jordan,Airlines,1485.81,USD,Purchase,Completed,2025-12-28,09:14:46.321269,2025-12-28 09:14:46.321269,MCC_2692,False,2026-03-10 09:14:46.334032
